Date,Category,Region,Sales,Units,Returns,Month,Profit
2024-11-14 03:19:49.303520,Electronics,East,3661,60,2,2024-11,740
2024-11-14 03:19:49.303520,Electronics,West,2103,60,4,2024-11,341
2024-11-14 03:19:49.303520,Clothing,North,1199,59,1,2024-11,369
2024-11-14 03:19:49.303520,Clothing,South,4820,54,3,2024-11,1318
2024-11-14 03:19:49.303520,Clothing,East,3481,51,3,2024-11,1103
2024-11-14 03:19:49.303520,Clothing,West,781,18,0,2024-11,195
2024-11-14 03:19:49.303520,Home & Garden,North,2394,26,1,2024-11,830
2024-11-14 03:19:49.303520,Home & Garden,South,1257,28,0,2024-11,430
2024-11-14 03:19:49.303520,Home & Garden,East,2885,53,3,2024-11,589
2024-11-14 03:19:49.303520,Home & Garden,West,1775,34,0,2024-11,403
2024-11-14 03:19:49.303520,Books,North,2014,74,5,2024-11,605
2024-11-14 03:19:49.303520,Books,South,1028,19,0,2024-11,313
2024-11-14 03:19:49.303520,Books,East,1307,26,2,2024-11,434
2024-11-14 03:19:49.303520,Books,West,4088,58,4,2024-11,1146
2024-11-14 03:19:49.303520,Sports,North,3424,72,4,2024-11,838
2024-11-14 03:19:49.303520,Sports,South,2118,24,0,2024-11,477
2024-11-14 03:19:49.303520,Sports,East,1317,26,2,2024-11,307
2024-11-14 03:19:49.303520,Sports,West,4723,188,7,2024-11,1511
2024-11-14 03:19:49.303520,Toys,North,2742,42,3,2024-11,948
2024-11-14 03:19:49.303520,Toys,South,4379,55,3,2024-11,702
2024-11-14 03:19:49.303520,Toys,East,753,14,0,2024-11,200
2024-11-14 03:19:49.303520,Toys,West,866,23,1,2024-11,219
2024-11-15 03:19:49.303520,Electronics,North,2241,48,1,2024-11,504
2024-11-15 03:19:49.303520,Electronics,South,2536,48,1,2024-11,812
2024-11-15 03:19:49.303520,Electronics,East,613,13,0,2024-11,162
2024-11-15 03:19:49.303520,Electronics,West,1508,35,2,2024-11,320
2024-11-15 03:19:49.303520,Clothing,North,2308,67,2,2024-11,551
2024-11-15 03:19:49.303520,Clothing,South,1826,35,1,2024-11,404
2024-11-15 03:19:49.303520,Clothing,East,1453,17,0,2024-11,342
2024-11-15 03:19:49.303520,Clothing,West,3191,41,0,2024-11,524
2024-11-15 03:19:49.303520,Home & Garden,North,1776,65,4,2024-11,306
2024-11-15 03:19:49.303520,Home & Garden,South,4321,180,8,2024-11,1187
2024-11-15 03:19:49.303520,Home & Garden,East,1853,28,1,2024-11,531
2024-11-15 03:19:49.303520,Home & Garden,West,3714,52,1,2024-11,1029
2024-11-15 03:19:49.303520,Books,North,414,11,0,2024-11,125
2024-11-15 03:19:49.303520,Books,South,2960,38,0,2024-11,1002
2024-11-15 03:19:49.303520,Books,East,2688,134,4,2024-11,865
2024-11-15 03:19:49.303520,Books,West,1230,23,0,2024-11,287
2024-11-15 03:19:49.303520,Sports,North,2671,133,10,2024-11,516
2024-11-15 03:19:49.303520,Sports,South,2393,29,1,2024-11,508
2024-11-15 03:19:49.303520,Sports,East,3205,91,2,2024-11,857
2024-11-15 03:19:49.303520,Sports,West,3972,52,2,2024-11,1275
2024-11-15 03:19:49.303520,Toys,North,2522,26,0,2024-11,732
2024-11-15 03:19:49.303520,Toys,South,3965,59,4,2024-11,1025
2024-11-15 03:19:49.303520,Toys,East,2566,61,1,2024-11,693
2024-11-15 03:19:49.303520,Toys,West,2214,25,1,2024-11,566
2024-11-16 03:19:49.303520,Electronics,North,5048,65,3,2024-11,1738
2024-11-16 03:19:49.303520,Electronics,South,1373,15,0,2024-11,430
2024-11-16 03:19:49.303520,Electronics,East,4263,83,6,2024-11,1305
2024-11-16 03:19:49.303520,Electronics,West,2463,79,3,2024-11,624
2024-11-16 03:19:49.303520,Clothing,North,3617,58,4,2024-11,782
2024-11-16 03:19:49.303520,Clothing,South,4847,57,4,2024-11,745
2024-11-16 03:19:49.303520,Clothing,East,4655,150,3,2024-11,738
2024-11-16 03:19:49.303520,Clothing,West,4611,85,3,2024-11,719
2024-11-16 03:19:49.303520,Home & Garden,North,1608,30,1,2024-11,556
2024-11-16 03:19:49.303520,Home & Garden,South,4818,55,3,2024-11,833
2024-11-16 03:19:49.303520,Home & Garden,East,3175,57,2,2024-11,566
2024-11-16 03:19:49.303520,Home & Garden,West,4298,78,2,2024-11,1060
2024-11-16 03:19:49.303520,Books,North,4516,82,3,2024-11,1112
2024-11-16 03:19:49.303520,Books,South,4063,94,6,2024-11,1357
2024-11-16 03:19:49.303520,Books,East,4774,149,9,2024-11,786
2024-11-16 03:19:49.303520,Books,West,4540,92,6,2024-11,1550
2024-11-16 03:19:49.303520,Sports,North,1957,61,4,2024-11,378
2024-11-16 03:19:49.303520,Sports,South,3262,105,8,2024-11,1122
2024-11-16 03:19:49.303520,Sports,East,4927,50,3,2024-11,1272
2024-11-16 03:19:49.303520,Sports,West,4405,125,5,2024-11,1235
2024-11-16 03:19:49.303520,Toys,North,4808,66,4,2024-11,1024
2024-11-16 03:19:49.303520,Toys,South,4764,82,2,2024-11,1297
2024-11-16 03:19:49.303520,Toys,East,3048,32,1,2024-11,890
2024-11-16 03:19:49.303520,Toys,West,2232,62,1,2024-11,339
2024-11-17 03:19:49.303520,Electronics,North,1918,68,4,2024-11,300
2024-11-17 03:19:49.303520,Electronics,South,3585,42,1,2024-11,1245
2024-11-17 03:19:49.303520,Electronics,East,4554,54,3,2024-11,1099
2024-11-17 03:19:49.303520,Electronics,West,2045,22,1,2024-11,689
2024-11-17 03:19:49.303520,Clothing,North,2914,76,5,2024-11,862
2024-11-17 03:19:49.303520,Clothing,South,1823,31,1,2024-11,409
2024-11-17 03:19:49.303520,Clothing,East,2614,40,0,2024-11,470
2024-11-17 03:19:49.303520,Clothing,West,1401,18,1,2024-11,484
2024-11-17 03:19:49.303520,Home & Garden,North,1712,85,5,2024-11,456
2024-11-17 03:19:49.303520,Home & Garden,South,3077,37,1,2024-11,579
2024-11-17 03:19:49.303520,Home & Garden,East,2972,52,2,2024-11,850
2024-11-17 03:19:49.303520,Home & Garden,West,3000,47,3,2024-11,505
2024-11-17 03:19:49.303520,Books,North,3428,62,3,2024-11,1109
2024-11-17 03:19:49.303520,Books,South,2657,34,1,2024-11,446
2024-11-17 03:19:49.303520,Books,East,2001,100,5,2024-11,394
2024-11-17 03:19:49.303520,Books,West,4569,207,15,2024-11,768
2024-11-17 03:19:49.303520,Sports,North,4058,86,3,2024-11,692
2024-11-17 03:19:49.303520,Sports,South,2729,49,2,2024-11,695
2024-11-17 03:19:49.303520,Sports,East,3462,57,2,2024-11,994
2024-11-17 03:19:49.303520,Sports,West,2604,31,1,2024-11,801
2024-11-17 03:19:49.303520,Toys,North,2887,60,1,2024-11,834
2024-11-17 03:19:49.303520,Toys,South,3967,158,12,2024-11,883
2024-11-17 03:19:49.303520,Toys,East,1741,60,4,2024-11,455
2024-11-17 03:19:49.303520,Toys,West,4484,186,4,2024-11,1504
2024-11-18 03:19:49.303520,Electronics,North,2885,42,1,2024-11,656
2024-11-18 03:19:49.303520,Electronics,South,5231,63,2,2024-11,1048
2024-11-18 03:19:49.303520,Electronics,East,4126,206,4,2024-11,1047
2024-11-18 03:19:49.303520,Electronics,West,4124,164,10,2024-11,863
2024-11-18 03:19:49.303520,Clothing,North,4629,82,5,2024-11,936
2024-11-18 03:19:49.303520,Clothing,South,1353,37,1,2024-11,413
2024-11-18 03:19:49.303520,Clothing,East,2934,57,1,2024-11,962
2024-11-18 03:19:49.303520,Clothing,West,3524,38,0,2024-11,882
2024-11-18 03:19:49.303520,Home & Garden,North,2139,31,2,2024-11,654
2024-11-18 03:19:49.303520,Home & Garden,South,2249,93,2,2024-11,421
2024-11-18 03:19:49.303520,Home & Garden,East,1366,20,0,2024-11,354
2024-11-18 03:19:49.303520,Home & Garden,West,2232,67,4,2024-11,618
2024-11-18 03:19:49.303520,Books,North,1665,29,1,2024-11,413
2024-11-18 03:19:49.303520,Books,South,5437,110,5,2024-11,942
2024-11-18 03:19:49.303520,Books,East,3462,60,2,2024-11,1027
2024-11-18 03:19:49.303520,Books,West,2831,57,3,2024-11,899
2024-11-18 03:19:49.303520,Sports,North,5233,180,13,2024-11,1449
2024-11-18 03:19:49.303520,Sports,South,2790,77,2,2024-11,512
2024-11-18 03:19:49.303520,Sports,East,4210,49,1,2024-11,694
2024-11-18 03:19:49.303520,Sports,West,4692,75,2,2024-11,986
2024-11-18 03:19:49.303520,Toys,North,1933,19,0,2024-11,304
2024-11-18 03:19:49.303520,Toys,South,5576,159,9,2024-11,1772
2024-11-18 03:19:49.303520,Toys,East,1097,12,0,2024-11,318
2024-11-18 03:19:49.303520,Toys,West,2622,38,2,2024-11,688
2024-11-19 03:19:49.303520,Electronics,North,3848,96,5,2024-11,1261
2024-11-19 03:19:49.303520,Electronics,South,3546,114,3,2024-11,609
2024-11-19 03:19:49.303520,Electronics,East,3539,76,1,2024-11,1036
2024-11-19 03:19:49.303520,Electronics,West,3020,45,2,2024-11,541
2024-11-19 03:19:49.303520,Clothing,North,2807,41,0,2024-11,455
2024-11-19 03:19:49.303520,Clothing,South,2204,40,2,2024-11,389
2024-11-19 03:19:49.303520,Clothing,East,1847,27,1,2024-11,628
2024-11-19 03:19:49.303520,Clothing,West,1877,56,3,2024-11,446
2024-11-19 03:19:49.303520,Home & Garden,North,4081,123,3,2024-11,652
2024-11-19 03:19:49.303520,Home & Garden,South,1891,72,4,2024-11,504
2024-11-19 03:19:49.303520,Home & Garden,East,3591,97,4,2024-11,682
2024-11-19 03:19:49.303520,Home & Garden,West,4479,131,3,2024-11,677
2024-11-19 03:19:49.303520,Books,North,2694,35,2,2024-11,812
2024-11-19 03:19:49.303520,Books,South,3243,51,1,2024-11,586
2024-11-19 03:19:49.303520,Books,East,5573,64,3,2024-11,1886
2024-11-19 03:19:49.303520,Books,West,2744,51,2,2024-11,736
2024-11-19 03:19:49.303520,Sports,North,3570,142,10,2024-11,597
2024-11-19 03:19:49.303520,Sports,South,5058,64,2,2024-11,979
2024-11-19 03:19:49.303520,Sports,East,2258,31,0,2024-11,614
2024-11-19 03:19:49.303520,Sports,West,2770,31,1,2024-11,602
2024-11-19 03:19:49.303520,Toys,North,4095,41,2,2024-11,1050
2024-11-19 03:19:49.303520,Toys,South,4134,59,4,2024-11,1281
2024-11-19 03:19:49.303520,Toys,East,2348,33,2,2024-11,724
2024-11-19 03:19:49.303520,Toys,West,3612,40,3,2024-11,1046
2024-11-20 03:19:49.303520,Electronics,North,4176,134,3,2024-11,1366
2024-11-20 03:19:49.303520,Electronics,South,1919,58,2,2024-11,364
2024-11-20 03:19:49.303520,Electronics,East,3363,35,1,2024-11,623
2024-11-20 03:19:49.303520,Electronics,West,4902,196,7,2024-11,1518
2024-11-20 03:19:49.303520,Clothing,North,2160,102,4,2024-11,462
2024-11-20 03:19:49.303520,Clothing,South,5858,69,1,2024-11,1478
2024-11-20 03:19:49.303520,Clothing,East,3794,88,4,2024-11,1133
2024-11-20 03:19:49.303520,Clothing,West,5364,78,5,2024-11,1229
2024-11-20 03:19:49.303520,Home & Garden,North,1730,18,1,2024-11,304
2024-11-20 03:19:49.303520,Home & Garden,South,3716,68,5,2024-11,1062
2024-11-20 03:19:49.303520,Home & Garden,East,5128,56,3,2024-11,1607
2024-11-20 03:19:49.303520,Home & Garden,West,2532,76,5,2024-11,386
2024-11-20 03:19:49.303520,Books,North,2664,27,1,2024-11,699
2024-11-20 03:19:49.303520,Books,South,1073,17,0,2024-11,261
2024-11-20 03:19:49.303520,Books,East,4382,85,4,2024-11,884
2024-11-20 03:19:49.303520,Books,West,3423,81,3,2024-11,623
2024-11-20 03:19:49.303520,Sports,North,2308,27,1,2024-11,432
2024-11-20 03:19:49.303520,Sports,South,4730,67,3,2024-11,1395
2024-11-20 03:19:49.303520,Sports,East,1432,15,0,2024-11,368
2024-11-20 03:19:49.303520,Sports,West,5008,147,10,2024-11,1733
2024-11-20 03:19:49.303520,Toys,North,2948,53,4,2024-11,585
2024-11-20 03:19:49.303520,Toys,South,4706,102,6,2024-11,1606
2024-11-20 03:19:49.303520,Toys,East,2759,114,8,2024-11,698
2024-11-20 03:19:49.303520,Toys,West,3610,63,3,2024-11,646
2024-11-21 03:19:49.303520,Electronics,North,2629,109,5,2024-11,472
2024-11-21 03:19:49.303520,Electronics,South,3320,34,2,2024-11,902
2024-11-21 03:19:49.303520,Electronics,East,5347,97,6,2024-11,1691
2024-11-21 03:19:49.303520,Electronics,West,5030,57,3,2024-11,1506
2024-11-21 03:19:49.303520,Clothing,North,4582,50,2,2024-11,1288
2024-11-21 03:19:49.303520,Clothing,South,1935,29,1,2024-11,356
2024-11-21 03:19:49.303520,Clothing,East,3527,44,2,2024-11,605
2024-11-21 03:19:49.303520,Clothing,West,5545,63,4,2024-11,832
2024-11-21 03:19:49.303520,Home & Garden,North,4653,93,5,2024-11,792
2024-11-21 03:19:49.303520,Home & Garden,South,2421,34,2,2024-11,734
2024-11-21 03:19:49.303520,Home & Garden,East,4374,79,2,2024-11,1439
2024-11-21 03:19:49.303520,Home & Garden,West,3809,190,13,2024-11,754
2024-11-21 03:19:49.303520,Books,North,2007,30,0,2024-11,620
2024-11-21 03:19:49.303520,Books,South,3700,39,2,2024-11,702
2024-11-21 03:19:49.303520,Books,East,830,18,1,2024-11,165
2024-11-21 03:19:49.303520,Books,West,5172,246,11,2024-11,1007
2024-11-21 03:19:49.303520,Sports,North,1478,23,0,2024-11,236
2024-11-21 03:19:49.303520,Sports,South,2768,39,1,2024-11,522
2024-11-21 03:19:49.303520,Sports,East,0,0,0,2024-11,0
2024-11-21 03:19:49.303520,Sports,West,1207,29,0,2024-11,278
2024-11-21 03:19:49.303520,Toys,North,4616,67,3,2024-11,978
2024-11-21 03:19:49.303520,Toys,South,1771,21,1,2024-11,447
2024-11-21 03:19:49.303520,Toys,East,3250,46,1,2024-11,733
2024-11-21 03:19:49.303520,Toys,West,1335,16,0,2024-11,459
2024-11-22 03:19:49.303520,Electronics,North,2806,80,4,2024-11,873
2024-11-22 03:19:49.303520,Electronics,South,3988,199,13,2024-11,1340
2024-11-22 03:19:49.303520,Electronics,East,5652,99,6,2024-11,1477
2024-11-22 03:19:49.303520,Electronics,West,5881,294,11,2024-11,1680
2024-11-22 03:19:49.303520,Clothing,North,1170,12,0,2024-11,214
2024-11-22 03:19:49.303520,Clothing,South,3664,49,1,2024-11,1101
2024-11-22 03:19:49.303520,Clothing,East,2263,29,0,2024-11,446
2024-11-22 03:19:49.303520,Clothing,West,3710,47,2,2024-11,664
2024-11-22 03:19:49.303520,Home & Garden,North,1567,18,1,2024-11,248
2024-11-22 03:19:49.303520,Home & Garden,South,4801,177,4,2024-11,1173
2024-11-22 03:19:49.303520,Home & Garden,East,3340,51,3,2024-11,692
2024-11-22 03:19:49.303520,Home & Garden,West,1673,29,0,2024-11,581
2024-11-22 03:19:49.303520,Books,North,2396,92,5,2024-11,479
2024-11-22 03:19:49.303520,Books,South,4780,113,8,2024-11,1545
2024-11-22 03:19:49.303520,Books,East,5049,63,3,2024-11,1076
2024-11-22 03:19:49.303520,Books,West,2485,37,2,2024-11,745
2024-11-22 03:19:49.303520,Sports,North,4433,143,9,2024-11,1249
2024-11-22 03:19:49.303520,Sports,South,1291,22,1,2024-11,338
2024-11-22 03:19:49.303520,Sports,East,1218,28,0,2024-11,284
2024-11-22 03:19:49.303520,Sports,West,4147,53,3,2024-11,1178
2024-11-22 03:19:49.303520,Toys,North,1286,38,2,2024-11,297
2024-11-22 03:19:49.303520,Toys,South,755,17,0,2024-11,196
2024-11-22 03:19:49.303520,Toys,East,2471,54,2,2024-11,662
2024-11-22 03:19:49.303520,Toys,West,5298,94,1,2024-11,1077
2024-11-23 03:19:49.303520,Electronics,North,5100,85,3,2024-11,1111
2024-11-23 03:19:49.303520,Electronics,South,4361,77,4,2024-11,669
2024-11-23 03:19:49.303520,Electronics,East,2330,50,3,2024-11,746
2024-11-23 03:19:49.303520,Electronics,West,2012,34,1,2024-11,606
2024-11-23 03:19:49.303520,Clothing,North,2480,38,2,2024-11,463
2024-11-23 03:19:49.303520,Clothing,South,4493,55,2,2024-11,999
2024-11-23 03:19:49.303520,Clothing,East,2995,35,0,2024-11,701
2024-11-23 03:19:49.303520,Clothing,West,4514,100,2,2024-11,978
2024-11-23 03:19:49.303520,Home & Garden,North,4598,58,2,2024-11,1423
2024-11-23 03:19:49.303520,Home & Garden,South,1784,24,1,2024-11,526
2024-11-23 03:19:49.303520,Home & Garden,East,3002,76,2,2024-11,910
2024-11-23 03:19:49.303520,Home & Garden,West,4463,55,4,2024-11,1476
2024-11-23 03:19:49.303520,Books,North,3810,41,1,2024-11,1025
2024-11-23 03:19:49.303520,Books,South,1898,94,4,2024-11,517
2024-11-23 03:19:49.303520,Books,East,1675,31,2,2024-11,493
2024-11-23 03:19:49.303520,Books,West,3613,57,4,2024-11,1034
2024-11-23 03:19:49.303520,Sports,North,429,6,0,2024-11,138
2024-11-23 03:19:49.303520,Sports,South,4646,58,3,2024-11,1412
2024-11-23 03:19:49.303520,Sports,East,4190,51,3,2024-11,729
2024-11-23 03:19:49.303520,Sports,West,1435,53,3,2024-11,481
2024-11-23 03:19:49.303520,Toys,North,5005,56,4,2024-11,1434
2024-11-23 03:19:49.303520,Toys,South,4254,137,4,2024-11,746
2024-11-23 03:19:49.303520,Toys,East,5275,103,6,2024-11,1605
2024-11-23 03:19:49.303520,Toys,West,1728,48,1,2024-11,383
2024-11-24 03:19:49.303520,Electronics,North,3280,33,2,2024-11,1020
2024-11-24 03:19:49.303520,Electronics,South,1225,18,0,2024-11,417
2024-11-24 03:19:49.303520,Electronics,East,2035,35,1,2024-11,409
2024-11-24 03:19:49.303520,Electronics,West,3035,84,4,2024-11,975
2024-11-24 03:19:49.303520,Clothing,North,4234,192,11,2024-11,1290
2024-11-24 03:19:49.303520,Clothing,South,4057,54,2,2024-11,1153
2024-11-24 03:19:49.303520,Clothing,East,1473,33,2,2024-11,334
2024-11-24 03:19:49.303520,Clothing,West,3496,99,4,2024-11,601
2024-11-24 03:19:49.303520,Home & Garden,North,2401,47,3,2024-11,592
2024-11-24 03:19:49.303520,Home & Garden,South,3675,63,1,2024-11,628
2024-11-24 03:19:49.303520,Home & Garden,East,998,13,0,2024-11,249
2024-11-24 03:19:49.303520,Home & Garden,West,3704,127,3,2024-11,1163
2024-11-24 03:19:49.303520,Books,North,5527,81,2,2024-11,1931
2024-11-24 03:19:49.303520,Books,South,2478,50,3,2024-11,469
2024-11-24 03:19:49.303520,Books,East,407,4,0,2024-11,77
2024-11-24 03:19:49.303520,Books,West,2666,47,3,2024-11,832
2024-11-24 03:19:49.303520,Sports,North,2304,28,2,2024-11,561
2024-11-24 03:19:49.303520,Sports,South,1264,15,0,2024-11,421
2024-11-24 03:19:49.303520,Sports,East,4404,48,3,2024-11,1337
2024-11-24 03:19:49.303520,Sports,West,4902,67,3,2024-11,1457
2024-11-24 03:19:49.303520,Toys,North,4585,208,14,2024-11,781
2024-11-24 03:19:49.303520,Toys,South,4765,198,11,2024-11,748
2024-11-24 03:19:49.303520,Toys,East,2665,32,2,2024-11,568
2024-11-24 03:19:49.303520,Toys,West,945,18,0,2024-11,182
2024-11-25 03:19:49.303520,Electronics,North,2129,23,1,2024-11,622
2024-11-25 03:19:49.303520,Electronics,South,1870,62,4,2024-11,449
2024-11-25 03:19:49.303520,Electronics,East,4551,52,4,2024-11,1158
2024-11-25 03:19:49.303520,Electronics,West,1721,28,1,2024-11,538
2024-11-25 03:19:49.303520,Clothing,North,1349,13,0,2024-11,331
2024-11-25 03:19:49.303520,Clothing,South,2636,109,2,2024-11,682
2024-11-25 03:19:49.303520,Clothing,East,1902,32,2,2024-11,605
2024-11-25 03:19:49.303520,Clothing,West,1676,21,1,2024-11,395
2024-11-25 03:19:49.303520,Home & Garden,North,4699,90,6,2024-11,782
2024-11-25 03:19:49.303520,Home & Garden,South,5389,54,3,2024-11,1370
2024-11-25 03:19:49.303520,Home & Garden,East,3514,109,7,2024-11,934
2024-11-25 03:19:49.303520,Home & Garden,West,4529,62,3,2024-11,1142
2024-11-25 03:19:49.303520,Books,North,973,40,2,2024-11,196
2024-11-25 03:19:49.303520,Books,South,2370,47,3,2024-11,461
2024-11-25 03:19:49.303520,Books,East,4441,76,2,2024-11,994
2024-11-25 03:19:49.303520,Books,West,3970,189,13,2024-11,727
2024-11-25 03:19:49.303520,Sports,North,2868,89,5,2024-11,812
2024-11-25 03:19:49.303520,Sports,South,2076,57,1,2024-11,566
2024-11-25 03:19:49.303520,Sports,East,4483,83,2,2024-11,1239
2024-11-25 03:19:49.303520,Sports,West,4843,98,2,2024-11,944
2024-11-25 03:19:49.303520,Toys,North,2456,31,0,2024-11,489
2024-11-25 03:19:49.303520,Toys,South,3471,84,6,2024-11,1067
2024-11-25 03:19:49.303520,Toys,East,3380,93,5,2024-11,973
2024-11-25 03:19:49.303520,Toys,West,3698,90,5,2024-11,1201
2024-11-26 03:19:49.303520,Electronics,North,3707,142,3,2024-11,855
2024-11-26 03:19:49.303520,Electronics,South,4107,164,6,2024-11,1065
2024-11-26 03:19:49.303520,Electronics,East,5631,125,3,2024-11,1676
2024-11-26 03:19:49.303520,Electronics,West,2543,52,3,2024-11,876
2024-11-26 03:19:49.303520,Clothing,North,3821,79,4,2024-11,1329
2024-11-26 03:19:49.303520,Clothing,South,4108,80,1,2024-11,1437
2024-11-26 03:19:49.303520,Clothing,East,1997,23,1,2024-11,655
2024-11-26 03:19:49.303520,Clothing,West,3884,51,2,2024-11,1079
2024-11-26 03:19:49.303520,Home & Garden,North,363,4,0,2024-11,54
2024-11-26 03:19:49.303520,Home & Garden,South,4581,86,2,2024-11,1328
2024-11-26 03:19:49.303520,Home & Garden,East,3323,89,6,2024-11,657
2024-11-26 03:19:49.303520,Home & Garden,West,3866,84,6,2024-11,624
2024-11-26 03:19:49.303520,Books,North,3664,53,3,2024-11,1060
2024-11-26 03:19:49.303520,Books,South,3107,37,1,2024-11,935
2024-11-26 03:19:49.303520,Books,East,2923,44,2,2024-11,823
2024-11-26 03:19:49.303520,Books,West,4402,45,2,2024-11,981
2024-11-26 03:19:49.303520,Sports,North,4893,85,2,2024-11,1234
2024-11-26 03:19:49.303520,Sports,South,5170,63,3,2024-11,1742
2024-11-26 03:19:49.303520,Sports,East,4234,141,11,2024-11,1252
2024-11-26 03:19:49.303520,Sports,West,3708,40,1,2024-11,930
2024-11-26 03:19:49.303520,Toys,North,3053,53,1,2024-11,820
2024-11-26 03:19:49.303520,Toys,South,1378,26,2,2024-11,462
2024-11-26 03:19:49.303520,Toys,East,4750,79,2,2024-11,1086
2024-11-26 03:19:49.303520,Toys,West,3917,60,1,2024-11,667
2024-11-27 03:19:49.303520,Electronics,North,1140,21,1,2024-11,245
2024-11-27 03:19:49.303520,Electronics,South,3191,151,7,2024-11,743
2024-11-27 03:19:49.303520,Electronics,East,2918,64,2,2024-11,597
2024-11-27 03:19:49.303520,Electronics,West,3483,61,3,2024-11,890
2024-11-27 03:19:49.303520,Clothing,North,3454,54,1,2024-11,728
2024-11-27 03:19:49.303520,Clothing,South,3555,44,2,2024-11,606
2024-11-27 03:19:49.303520,Clothing,East,4061,79,2,2024-11,761
2024-11-27 03:19:49.303520,Clothing,West,2691,99,7,2024-11,897
2024-11-27 03:19:49.303520,Home & Garden,North,2878,110,6,2024-11,794
2024-11-27 03:19:49.303520,Home & Garden,South,2036,88,4,2024-11,433
2024-11-27 03:19:49.303520,Home & Garden,East,2343,39,1,2024-11,523
2024-11-27 03:19:49.303520,Home & Garden,West,953,10,0,2024-11,236
2024-11-27 03:19:49.303520,Books,North,4042,63,3,2024-11,1150
2024-11-27 03:19:49.303520,Books,South,4261,57,2,2024-11,1135
2024-11-27 03:19:49.303520,Books,East,2230,30,0,2024-11,750
2024-11-27 03:19:49.303520,Books,West,4881,54,3,2024-11,1343
2024-11-27 03:19:49.303520,Sports,North,2199,28,1,2024-11,730
